text,label,sentiment,clean_text,token_count
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,0,Bearish,<TICKER> - JPMorgan reels in expectations on Beyond Meat,9
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,0,Bearish,<TICKER> <TICKER> - Nomura points to bookings weakness at Carnival and Royal Caribbean,13
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",0,Bearish,"<TICKER> - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook",13
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,0,Bearish,<TICKER>: BTIG Research cuts to Neutral,6
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,0,Bearish,<TICKER> - Funko slides after Piper Jaffray PT cut,9
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,0,Bearish,<TICKER> - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank,13
$GM - GM loses a bull https://t.co/tdUfG5HbXy,0,Bearish,<TICKER> - GM loses a bull,6
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,0,Bearish,<TICKER>: Deutsche Bank cuts to Hold,6
$GTT: Cowen cuts to Market Perform,0,Bearish,<TICKER>: Cowen cuts to Market Perform,6
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,0,Bearish,<TICKER> <TICKER> <TICKER> - Trendforce cuts iPhone estimate after Foxconn delay,11
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,0,Bearish,<TICKER> - Moody's warns on Harley-Davidson,6
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",0,Bearish,"<TICKER> - Citing aero ties, Wells slashes PT on Hexcel",10
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,0,Bearish,<TICKER> - Intelsat cut to Market Perform at Raymond James,10
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,0,Bearish,<TICKER>: Compass Point cuts to Sell,6
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,0,Bearish,<TICKER> - Muddy Waters goes short Luckin Coffee,8
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,0,Bearish,<TICKER> - ManTech downgraded ahead of difficult comps,8
$MDCO: Oppenheimer cuts to Perform,0,Bearish,<TICKER>: Oppenheimer cuts to Perform,5
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,0,Bearish,<TICKER> <TICKER> - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review,15
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,0,Bearish,<TICKER> - Imperial downgrades MSG Networks amid sports-free airwaves,9
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,0,Bearish,<TICKER> - Piper hits the Materialise sidelines,7
$NCBS: Hovde Group cuts to Market Perform,0,Bearish,<TICKER>: Hovde Group cuts to Market Perform,7
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,0,Bearish,<TICKER> - New Netflix bear steps out,7
$SHOP - Shopify loses a bull https://t.co/eoq7Lchtk4,0,Bearish,<TICKER> - Shopify loses a bull,6
$STAY - Nomura Instinet loses confidence in Extended Stay America https://t.co/WrQXTC38nB,0,Bearish,<TICKER> - Nomura Instinet loses confidence in Extended Stay America,10
$TWLO - Twilio gets Street-low target on virus risk https://t.co/Ky3d8DxnjX,0,Bearish,<TICKER> - Twilio gets Street-low target on virus risk,9
$VCLT $SPLB $IGLB - Guggenheim's Minerd sees more gloom ahead in stocks https://t.co/NKYQgy2o3J,0,Bearish,<TICKER> <TICKER> <TICKER> - Guggenheim's Minerd sees more gloom ahead in stocks,12
$VIAC $VIACA $FOX - MoffettNathanson expects NFL TV costs to skyrocket https://t.co/APfxEqSSRF,0,Bearish,<TICKER> <TICKER> <TICKER> - MoffettNathanson expects NFL TV costs to skyrocket,11
$VIAC: Barrington Research cuts to Mkt Perform https://t.co/7Fv1ZiFZBS,0,Bearish,<TICKER>: Barrington Research cuts to Mkt Perform,7
$XLNX - Mizuho cuts XLNX target on near-term headwinds https://t.co/hsWCvJb1Ct,0,Bearish,<TICKER> - Mizuho cuts XLNX target on near-term headwinds,9
2U downgraded to sector weight from overweight at KeyBanc Capital,0,Bearish,2U downgraded to sector weight from overweight at KeyBanc Capital,10
Alphabet and Facebook price targets cut at Barclays on weaker ad outlook https://t.co/PlbSaE1Nc2,0,Bearish,Alphabet and Facebook price targets cut at Barclays on weaker ad outlook,12
AMC Networks price target cut to $35 from $39 at Imperial Capital,0,Bearish,AMC Networks price target cut to $35 from $39 at Imperial Capital,12
American Software downgraded to neutral from buy at B. Riley FBR,0,Bearish,American Software downgraded to neutral from buy at B. Riley FBR,11
Analysts question Silicon Motion's margin outlook,0,Bearish,Analysts question Silicon Motion's margin outlook,6
Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,0,Bearish,Anchiano Therapeutics downgraded to peer perform from outperform at Oppenheimer,10
Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,0,Bearish,Arch Coal stock price target cut to $97 from $100 at B. Riley FBR,14
AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,0,Bearish,AT&T downgraded by MoffettNathanson to sell on concern wireless can't carry the whole company,14
AT&T shares sink after MoffettNathanson downgrade,0,Bearish,AT&T shares sink after MoffettNathanson downgrade,6
"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",0,Bearish,"AT&T stock falls after MoffettNathanson downgrades, saying dividend looks less compelling",11
Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,0,Bearish,Aurora Cannabis stock price target cut to C$1.00 from C$1.75 at Stifel Nicolaus,13
Autodesk downgraded to underweight from neutral at JPMorgan,0,Bearish,Autodesk downgraded to underweight from neutral at JPMorgan,8
BAML warns of profit pressure for Hormel,0,Bearish,BAML warns of profit pressure for Hormel,7
Barclays cools on Molson Coors,0,Bearish,Barclays cools on Molson Coors,5
Becton Dickinson downgraded to outperform from strong buy at Raymond James,0,Bearish,Becton Dickinson downgraded to outperform from strong buy at Raymond James,11
Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,0,Bearish,Becton Dickinson downgraded to sector weight from overweight at KeyBanc Capital,11
Berry Petroleum downgraded to market perform from outperform at BMO Capital,0,Bearish,Berry Petroleum downgraded to market perform from outperform at BMO Capital,11
Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,0,Bearish,Berry Petroleum downgraded to underweight from sector weight at KeyBanc Capital,11
Bluebird bio downgraded to in line from outperform at Evercore ISI,0,Bearish,Bluebird bio downgraded to in line from outperform at Evercore ISI,11
Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,0,Bearish,Bluebird bio stock price target cut to $86 from $172 at Evercore ISI,13
Canada Goose downgraded to buy from strong buy at CFRA,0,Bearish,Canada Goose downgraded to buy from strong buy at CFRA,10
Canada Goose stock price target cut to $50 from $65 at CFRA,0,Bearish,Canada Goose stock price target cut to $50 from $65 at CFRA,12
Children's Place downgraded as e-commerce puts margins at risk,0,Bearish,Children's Place downgraded as e-commerce puts margins at risk,9
Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,0,Bearish,Children's Place price target cut to $80 from $105 at Monness Crespi Hardt,13
Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,0,Bearish,Cinedigm Corp. Analysts Are Cutting Their Estimates: Here's What You Need To Know,13
Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,0,Bearish,Clovis Oncology stock price target cut to $8 from $12 at Evercore ISI,13
Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,0,Bearish,Cumberland Pharmaceuticals stock price target cut to $9.00 from $12.25 at B. Riley FBR,14
"Dell, HPE targets trimmed on compute headwinds",0,Bearish,"Dell, HPE targets trimmed on compute headwinds",7
Dish may not be key winner amid Intelsat woes - analyst,0,Bearish,Dish may not be key winner amid Intelsat woes - analyst,11
Disney downgraded as analyst says parks attendance could take 2 years to 'normalize' https://t.co/InJKourtW3,0,Bearish,Disney downgraded as analyst says parks attendance could take 2 years to 'normalize',13
Downgrades 11/25: $AEO $COLM $DGII $EQT $ESS $EVRG $GTT $KRG $MANT $MDCO $NFLX $OMP $PEG $PRU $SBT $SITC $TAP $VIPS,0,Bearish,Downgrades 11/25: <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER>,20
Downgrades 4/7: $MLND $MSGN $MTLS $O $OC $OVV $PEB $PK $PLYA $QEP $RHP $RPAI $SAIA $SDC $SHOP $SKY $SLG $SM $TWLO… https://t.co/NGkYTADOSt,0,Bearish,Downgrades 4/7: <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER> <TICKER>,21
Dropbox on watch after stinging Spruce Point report,0,Bearish,Dropbox on watch after stinging Spruce Point report,8
"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",0,Bearish,"Earnings Update: electroCore, Inc. Just Reported And Analysts Are Trimming Their Forecasts",12
Evercore downgrades bluebird bio and Clovis in premarket analyst action,0,Bearish,Evercore downgrades bluebird bio and Clovis in premarket analyst action,10
"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act https://t.co/NhiYwphBQd",0,Bearish,"Fannie Mae, Freddie Mac downgraded to sell, as analyst cites 'unintended consequences' of CARES Act",15
Forescout downgraded to neutral from buy at Monness Crespi Hardt,0,Bearish,Forescout downgraded to neutral from buy at Monness Crespi Hardt,10
FormFactor cut on 'unsustainable' revenue outlook,0,Bearish,FormFactor cut on 'unsustainable' revenue outlook,6
Funko downgraded to hold from buy at Stifel Nicolaus,0,Bearish,Funko downgraded to hold from buy at Stifel Nicolaus,9
Funko stock price target cut to $10 from $25 at Stifel Nicolaus,0,Bearish,Funko stock price target cut to $10 from $25 at Stifel Nicolaus,12
GM stock price target cut to $30 from $32 at Deutsche Bank,0,Bearish,GM stock price target cut to $30 from $32 at Deutsche Bank,12
Grubhub gains a bear on margin view,0,Bearish,Grubhub gains a bear on margin view,7
H&P downgraded at Argus as drilling industry weakness seen persisting,0,Bearish,H&P downgraded at Argus as drilling industry weakness seen persisting,10
Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,0,Bearish,Hanesbrands stock price target cut to $13 vs. $16 at BofA Merrill Lynch,13
Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,0,Bearish,Helmerich & Payne started at sell with $34 stock price target at Deutsche Bank,14
Hexo stock price target cut to C$5 from C$6 at MKM Partners,0,Bearish,Hexo stock price target cut to C$5 from C$6 at MKM Partners,12
Home Depot stock price target cut to $237 from $240 at Instinet,0,Bearish,Home Depot stock price target cut to $237 from $240 at Instinet,12
Intelsat downgraded to underweight from neutral at J.P. Morgan,0,Bearish,Intelsat downgraded to underweight from neutral at J.P. Morgan,9
Intelsat lower after Morgan Stanley target cut,0,Bearish,Intelsat lower after Morgan Stanley target cut,7
Jefferies warns on L Brands,0,Bearish,Jefferies warns on L Brands,5
Kohl's stock price target cut to $48 from $52 at Deutsche Bank,0,Bearish,Kohl's stock price target cut to $48 from $52 at Deutsche Bank,12
Kohl's stock price target cut to $50 from $53 at Wedbush,0,Bearish,Kohl's stock price target cut to $50 from $53 at Wedbush,11
L Brands stock price target cut to $16 from $20 at Wedbush,0,Bearish,L Brands stock price target cut to $16 from $20 at Wedbush,12
Lovesac stock price target cut to $28 vs. $33 at Canaccord,0,Bearish,Lovesac stock price target cut to $28 vs. $33 at Canaccord,11
Lyft stock price target cut to $58 from $70 at Deutsche Bank,0,Bearish,Lyft stock price target cut to $58 from $70 at Deutsche Bank,12
Macerich downgraded to underweight from sector weight at KeyBanc Capital,0,Bearish,Macerich downgraded to underweight from sector weight at KeyBanc Capital,10
Marinus Pharma stock price target cut to $6 from $7 at Leerink,0,Bearish,Marinus Pharma stock price target cut to $6 from $7 at Leerink,12
Methanex downgraded at TD Securities on valuation,0,Bearish,Methanex downgraded at TD Securities on valuation,7
Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,0,Bearish,Metro Inc. Just Missed Earnings And Its EPS Looked Sad - But Analysts Have Updated Their Models,17
Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,0,Bearish,Mid-America Apartment Communities downgraded to sector weight from overweight at KeyBanc Capital,12
Mitek Systems stock price target cut to $11 from $14 at Benchmark,0,Bearish,Mitek Systems stock price target cut to $11 from $14 at Benchmark,12
Napco Security stock price target cut to $30 from $35 at Imperial Capital,0,Bearish,Napco Security stock price target cut to $30 from $35 at Imperial Capital,13
Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,0,Bearish,Needham's Martin Defends Her Prediction That Netflix Subscriptions Will Fall,10
Netflix downgraded to ‘underperform’ at Needham,0,Bearish,Netflix downgraded to underperform at Needham,6
Netflix stock falls after Wells Fargo turns bearish,0,Bearish,Netflix stock falls after Wells Fargo turns bearish,8
New Netflix bear steps out,0,Bearish,New Netflix bear steps out,5
"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",0,Bearish,"New York Opioid Case A Significant Risk For Pharma Stocks, Says Bearish BofA",13
Norwegian Cruise Line downgraded to strong sell from hold at CFRA,0,Bearish,Norwegian Cruise Line downgraded to strong sell from hold at CFRA,11
Novo Nordisk downgraded by UBS on concerns over drug launch cost,0,Bearish,Novo Nordisk downgraded by UBS on concerns over drug launch cost,11
Oppenheimer cuts estimates on Yum China,0,Bearish,Oppenheimer cuts estimates on Yum China,6
Orbcomm price target lowered to $9 at Canaccord,0,Bearish,Orbcomm price target lowered to $9 at Canaccord,8
O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,0,Bearish,O'Reilly Automotive stock price target cut to $405 from $415 at J.P. Morgan,13
Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,0,Bearish,Patterson-UTI Energy started at sell with $7 stock price target at Deutsche Bank,13
PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,0,Bearish,PS Business Parks downgraded to underweight from sector weight at KeyBanc Capital,12
Rio Tinto downgraded to neutral from overweight at J.P. Morgan,0,Bearish,Rio Tinto downgraded to neutral from overweight at J.P. Morgan,10
"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",0,Bearish,"Rosenblatt Projects 47% Downside In Apple Shares, Warns Of Drop In iPhone Production",13
Royal Caribbean downgraded to sell from buy at CFRA,0,Bearish,Royal Caribbean downgraded to sell from buy at CFRA,9
Royal Caribbean stock price target cut to $100 from $135 at CFRA,0,Bearish,Royal Caribbean stock price target cut to $100 from $135 at CFRA,12
Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,0,Bearish,Royal Caribbean's stock falls after CFRA swings to bearish on 'more dire' coronavirus assessment,14
Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,0,Bearish,Scandinavian Tobacco Group A/S Earnings Missed Analyst Estimates: Here's What Analysts Are Forecasting Now,14
Sherwin-Williams cut from Conviction Buy at Goldman on valuation,0,Bearish,Sherwin-Williams cut from Conviction Buy at Goldman on valuation,9
Sirius downgraded on valuation,0,Bearish,Sirius downgraded on valuation,4
Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth https://t.co/jMJ3N4A06T,0,Bearish,Spotify Double Downgrade Reflects Prospect of Slower Revenue Growth,9
SunTrust latest to trim Nielsen target,0,Bearish,SunTrust latest to trim Nielsen target,6
Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,0,Bearish,Taco Bell parent Yum Brands downgraded to neutral from buy at BTIG,12
Take-Two downgraded on murky game slate,0,Bearish,Take-Two downgraded on murky game slate,6
Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,0,Bearish,Take-Two Interactive stock price target cut to $124 from $133 at MKM Partners,13
Target Hospitality downgraded to perform from outperform at Oppenheimer,0,Bearish,Target Hospitality downgraded to perform from outperform at Oppenheimer,9
Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,0,Bearish,Taubman Centers downgraded to sector weight from overweight at KeyBanc Capital,11
"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",0,Bearish,"The Manitowoc Company, Inc. Just Reported Earnings, And Analysts Cut Their Target Price",13
Transocean started at sell with $3 stock price target at Deutsche Bank,0,Bearish,Transocean started at sell with $3 stock price target at Deutsche Bank,12
Ultra Clean downgraded to hold from buy at Stifel Nicolaus,0,Bearish,Ultra Clean downgraded to hold from buy at Stifel Nicolaus,10
Wells Fargo Downgrades Netflix $NFLX to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i… https://t.co/vuNpYwRDSg,0,Bearish,Wells Fargo Downgrades Netflix <TICKER> to Underperform but sees as a takeover target. NFLX could get acquired: NFLX i,19
Wells Fargo Downgrades Netflix On Spending Concerns,0,Bearish,Wells Fargo Downgrades Netflix On Spending Concerns,7
"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen' https://t.co/niUwYR5YUD",0,Bearish,"Wells Fargo downgrades Netflix: 'If content is king, then cash is queen'",12
Welltower stock price target cut to $90 from $95 at J.P. Morgan,0,Bearish,Welltower stock price target cut to $90 from $95 at J.P. Morgan,12
WWE stock price target cut to $57 from $79 at Benchmark,0,Bearish,WWE stock price target cut to $57 from $79 at Benchmark,11
$ALTG: Dougherty & Company starts at Buy,1,Bullish,<TICKER>: Dougherty & Company starts at Buy,7
$AMD - AMD's Navi shows strong adoption - BofA https://t.co/WnCksfl1gX,1,Bullish,<TICKER> - AMD's Navi shows strong adoption - BofA,9
$ANCUF: BMO Capital Markets ups to Outperform,1,Bullish,<TICKER>: BMO Capital Markets ups to Outperform,7
$BHE: Lake Street starts at Buy,1,Bullish,<TICKER>: Lake Street starts at Buy,6
$CNC *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,1,Bullish,<TICKER> *S&P Raises Centene Corp. Rtg To BBB- From BB+; Outlk Stable*,12
$DE - Citi gives big boost to Deere PT https://t.co/MfhnyZe593,1,Bullish,<TICKER> - Citi gives big boost to Deere PT,9
$EBAY - Guggenheim sees favorable catalysts for eBay https://t.co/1adfDkHeaw,1,Bullish,<TICKER> - Guggenheim sees favorable catalysts for eBay,8
$FCX - Freeport upgraded as Credit Suisse sees big buying opportunity https://t.co/d4TGqrNi7Y,1,Bullish,<TICKER> - Freeport upgraded as Credit Suisse sees big buying opportunity,11
$FLXN: BTIG Research starts at Buy https://t.co/MCyfTsXc2N,1,Bullish,<TICKER>: BTIG Research starts at Buy,6
"$FNV - Franco-Nevada will not need more funding despite suspensions, analyst says https://t.co/pyARTEahWH",1,Bullish,"<TICKER> - Franco-Nevada will not need more funding despite suspensions, analyst says",12
$GBT: Cantor Fitzgerald resumes at Overweight,1,Bullish,<TICKER>: Cantor Fitzgerald resumes at Overweight,6
$GM - Morgan Stanley sees GM doubling in bull case scenario https://t.co/uNK2xzGQuq,1,Bullish,<TICKER> - Morgan Stanley sees GM doubling in bull case scenario,11
$GOOS: Barclays starts at Overweight,1,Bullish,<TICKER>: Barclays starts at Overweight,5
$HAS - Hasbro gains after UBS upgrade https://t.co/taTMaip1uM,1,Bullish,<TICKER> - Hasbro gains after UBS upgrade,7
"$JD - New https://t.co/BDnqOJSFq5 bull praises acceleration, margin profile https://t.co/Swtzl0mjnF",1,Bullish,"<TICKER> - New bull praises acceleration, margin profile",8
$JD: Barclays ups to Overweight,1,Bullish,<TICKER>: Barclays ups to Overweight,5
$KHC - JPMorgan constructive on Kraft Heinz https://t.co/Sp4I2ehAVw,1,Bullish,<TICKER> - JPMorgan constructive on Kraft Heinz,7
$KIM: Compass Point ups to Neutral,1,Bullish,<TICKER>: Compass Point ups to Neutral,6
$LOW - Lowe's racks up another positive rating despite recession risk https://t.co/ekx4f6aqIK,1,Bullish,<TICKER> - Lowe's racks up another positive rating despite recession risk,11
$LRCX - Lam target boosted on 'compelling' setup https://t.co/TBgKmZH6pM,1,Bullish,<TICKER> - Lam target boosted on 'compelling' setup,8
"$MU $WDC - Bull sees 2020 upsides for MU, WDC https://t.co/65zGfs82xI",1,Bullish,"<TICKER> <TICKER> - Bull sees 2020 upsides for MU, WDC",10
$NBY Rated buy https://t.co/xWbLXU1yOY,1,Bullish,<TICKER> Rated buy,3
$NFLX - SunTrust expecting Netflix to post strong user growth https://t.co/6z62FXsUom,1,Bullish,<TICKER> - SunTrust expecting Netflix to post strong user growth,10
$NVDA - Nvidia set for gaming tailwinds - BofA https://t.co/l3m78pJzrW,1,Bullish,<TICKER> - Nvidia set for gaming tailwinds - BofA,9
$OCN - BTIG sees 'material improvement' to Ocwen book value https://t.co/8MMo05uiM6,1,Bullish,<TICKER> - BTIG sees 'material improvement' to Ocwen book value,10
$OYST: Cowen starts at Outperform,1,Bullish,<TICKER>: Cowen starts at Outperform,5
$RAPT: BMO Capital Markets starts at Outperform,1,Bullish,<TICKER>: BMO Capital Markets starts at Outperform,7
$RNG - Evercore starts RingCentral at Outperform https://t.co/rfNcO3sw2k,1,Bullish,<TICKER> - Evercore starts RingCentral at Outperform,7
$SBAC $SBAC $AMT - MoffettNathanson boosts SBAC to Buy https://t.co/8k4l0c5x89,1,Bullish,<TICKER> <TICKER> <TICKER> - MoffettNathanson boosts SBAC to Buy,9
$SNAP - Loop turns bullish on Snap ad growth https://t.co/TekdZS48et,1,Bullish,<TICKER> - Loop turns bullish on Snap ad growth,9
$TENB - Cowen sees upside in TENB's Indegy purchase https://t.co/Ve7bTreR7Y,1,Bullish,<TICKER> - Cowen sees upside in TENB's Indegy purchase,9
"$UBER $LYFT - Uber, Lyft can raise prices to profit - Barclays https://t.co/1xx084l36h",1,Bullish,"<TICKER> <TICKER> - Uber, Lyft can raise prices to profit - Barclays",12
$WABC: Maxim Group ups to Buy,1,Bullish,<TICKER>: Maxim Group ups to Buy,6
$WRI: Compass Point ups to Buy,1,Bullish,<TICKER>: Compass Point ups to Buy,6
$ZS - New Zscaler bull sees 'sustainable' growth; shares +4% https://t.co/4fx811IVG5,1,Bullish,<TICKER> - New Zscaler bull sees 'sustainable' growth; shares +4%,10
"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader $ATVI $TTWO… https://t.co/1s0WRleA2n",1,Bullish,"Activision, Take-Two charts look 'constructive' as Wells Fargo gets bullish on video game plays: Trader <TICKER> <TICKER>",17
Adobe stock price target raised to $315 vs. $290 at Wedbush,1,Bullish,Adobe stock price target raised to $315 vs. $290 at Wedbush,11
Adobe stock price target raised to $318 vs. $310 at Instinet,1,Bullish,Adobe stock price target raised to $318 vs. $310 at Instinet,11
Aegis Capital positive on Netflix usage trend,1,Bullish,Aegis Capital positive on Netflix usage trend,7
"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",1,Bullish,"After a 60% drop in 6 months, Bank of America says buy pot stock Canopy",15
Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,1,Bullish,Akero Therapeutics started at buy with $36 stock price target at Canaccord Genuity,13
Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,1,Bullish,Align Technology stock price target raised to $305 from $290 at Stifel Nicolaus,13
Allergan upgraded to buy from neutral at UBS,1,Bullish,Allergan upgraded to buy from neutral at UBS,8
Altria stock price target raised to $54 from $50 at Stifel Nicolaus,1,Bullish,Altria stock price target raised to $54 from $50 at Stifel Nicolaus,12
Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,1,Bullish,Amneal Pharma price target raised to $6 vs. $4 at SunTrust Robinson Humphrey,13
"An analyst at Loop Capital upgrades $LYFT  to buy from hold, citing higher revenue growth potential.  https://t.co/2blCalNe9P",1,Bullish,"An analyst at Loop Capital upgrades <TICKER> to buy from hold, citing higher revenue growth potential.",16
Analyst: AT&T Is The Top Telecom Pick For 2020,1,Bullish,Analyst: AT&T Is The Top Telecom Pick For 2020,9
Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,1,Bullish,Analysts Mostly Bullish On Newly Public Insurance Firm BRP Group,10
Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,1,Bullish,Analysts See 18% Gains Ahead For The Holdings Of The First Trust Dow Jones Internet Index Fund ETF,18
Ansys stock price target raised to $265 from $235 at Benchmark,1,Bullish,Ansys stock price target raised to $265 from $235 at Benchmark,11
Anthem stock price target raised to $330 from $300 at SunTrust RH,1,Bullish,Anthem stock price target raised to $330 from $300 at SunTrust RH,12
Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,1,Bullish,Applied Industrial Technologies stock price target raised to $70 from $65 at KeyBanc Capital,14
arGen-X stock price target raised to $255 vs. $203 at Instinet,1,Bullish,arGen-X stock price target raised to $255 vs. $203 at Instinet,11
Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,1,Bullish,Armata Pharmaceuticals started at buy with $8 stock price target at Maxim Group,13
Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,1,Bullish,Arrow Electronics stock price target raised to $87 vs. $84 at SunTrust Robinson Humphrey,14
